model,freeze,head_type,subset_ratio,pct_data,seed,n_train,f1,auroc,clip_f1,clip_auroc,run_id
resnet50_1M,finetune,linear,0.5,50,420,4099,0.688,0.928,0.688,0.928,e68f5b53182045c68c8ca06d5687c5e7
resnet50_5M,finetune,linear,0.5,50,420,4099,0.691,0.925,0.691,0.925,463f5eb22e6848228d4f6866ce517eaa
efficientnetb0,finetune,linear,0.75,75,42,6149,0.667,0.919,0.667,0.919,1a9a1f1cb7f04304ac0b25957cce0b6b
vits16_imagenet,finetune,linear,0.75,75,42,6149,0.679,0.935,0.679,0.935,8da102c64bae4731b327728724829117
resnet50_imagenet,finetune,linear,0.75,75,42,6149,0.701,0.927,0.701,0.927,bf5cf9c10ccb427d8f6a731a8c0a0913
vits16_gastronet,finetune,linear,0.75,75,42,6149,0.722,0.94,0.722,0.94,af47d500350142578b4dba4f39887297
resnet50_200K,finetune,linear,0.75,75,42,6149,0.696,0.929,0.696,0.929,3b03816f9d33487382b94fdff2851ae2
resnet50_1M,finetune,linear,0.75,75,42,6149,0.699,0.927,0.699,0.927,89e8871aef304db9bd36da50541cc2ed
resnet50_5M,finetune,linear,0.75,75,42,6149,0.716,0.933,0.716,0.933,059fb7804ca94cffab83427ac9867ad4
efficientnetb0,finetune,linear,0.75,75,84,6149,0.688,0.925,0.688,0.925,b2a691091ca74654809bd099666f4bfa
vits16_imagenet,finetune,linear,0.75,75,84,6149,0.691,0.932,0.691,0.932,3abd59a939df41d99bdd3dff65e1c29c
resnet50_imagenet,finetune,linear,0.75,75,84,6149,0.692,0.927,0.692,0.927,23723927983e4c2aa25abeed2d989030
vits16_gastronet,finetune,linear,0.75,75,84,6149,0.717,0.941,0.717,0.941,7d870ec0b42c4d91961e62f403352538
resnet50_200K,finetune,linear,0.75,75,84,6149,0.705,0.931,0.705,0.931,c2c1fc933b364e6a874f7d9d41628a77
resnet50_1M,finetune,linear,0.75,75,84,6149,0.724,0.935,0.724,0.935,4a9119a0cd63419995885bbccaceb5ce
resnet50_5M,finetune,linear,0.75,75,84,6149,0.705,0.936,0.705,0.936,9d8eed734195485787125b43cd0529d6
efficientnetb0,finetune,linear,0.75,75,128,6149,0.683,0.92,0.683,0.92,ef78509f6cc54b5495fd28bbcf9ea41d
vits16_imagenet,finetune,linear,0.75,75,128,6149,0.695,0.937,0.695,0.937,fbb7b2ebb1fb42fca89cc997d40a078e
resnet50_imagenet,finetune,linear,0.75,75,128,6149,0.711,0.929,0.711,0.929,88ece44c11e0422ca2b29380ed71dd3e
vits16_gastronet,finetune,linear,0.75,75,128,6149,0.716,0.943,0.716,0.943,7baea68a32664be0982b4212ca0a2bed
resnet50_200K,finetune,linear,0.75,75,128,6149,0.691,0.935,0.691,0.935,37c15bc335894a3ca62f519d1d5d7f3f
resnet50_1M,finetune,linear,0.75,75,128,6149,0.717,0.93,0.717,0.93,21b9d0fa9c33409a9811cb72b61b3118
resnet50_5M,finetune,linear,0.75,75,128,6149,0.723,0.938,0.723,0.938,7a916bbc699b4a6887a8b15dc35a82bd
efficientnetb0,finetune,linear,0.75,75,256,6149,0.699,0.924,0.699,0.924,45623d54b7624dc895a18f4e5b980022
