model,freeze,head_type,subset_ratio,pct_data,seed,n_train,f1,auroc,clip_f1,clip_auroc,micro_f1,macro_f1,clin_sensitivity,clin_specificity,clin_f1,checkpoint_dir,sens_mayo0,sens_mayo1,sens_mayo2,sens_mayo3,spec_mayo0,spec_mayo1,spec_mayo2,spec_mayo3
efficientnetb0,finetune,linear,0.1,10,256,880,0.219,0.524,0.262,0.61,0.23265306122448978,0.21918265157904732,0.45794392523364486,0.5093220338983051,0.36055923473142015,output/mes/models/efficientnetb0/0/linear/20260606_051045,0.189873417721519,0.46551724137931033,0.16554054054054054,0.2594142259414226,0.8409387222946545,0.6756574511126096,0.7864693446088795,0.7222222222222222
resnet50_imagenet,finetune,linear,0.1,10,256,880,0.067,0.434,0.074,0.349,0.13994169096209913,0.06726662849484967,0.9775700934579439,0.016101694915254237,0.47138350608382157,output/mes/models/resnet50_imagenet/0/linear/20260606_051432,0.013713080168776372,0.0,0.0033783783783783786,0.9456066945606695,0.9765319426336375,1.0,0.9957716701902748,0.016937669376693765
vits16_imagenet,finetune,linear,0.1,10,256,880,0.286,0.648,0.306,0.717,0.37084548104956266,0.2860085946913223,0.6485981308411215,0.6067796610169491,0.5156017830609212,output/mes/models/vits16_imagenet/0/linear/20260606_051415,0.37763713080168776,0.33189655172413796,0.010135135135135136,0.8284518828451883,0.7548891786179922,0.8105192178017532,0.9873150105708245,0.5989159891598916
vits16_gastronet,finetune,linear,0.1,10,256,880,0.218,0.532,0.278,0.587,0.2478134110787172,0.21834811092657544,0.5719626168224299,0.4711864406779661,0.41774744027303756,output/mes/models/vits16_gastronet/0/linear/20260606_051821,0.20464135021097046,0.4267241379310345,0.033783783783783786,0.5104602510460251,0.7940026075619296,0.7747808496291302,0.9513742071881607,0.5060975609756098
resnet50_200K,finetune,linear,0.1,10,256,880,0.21,0.498,0.27,0.68,0.2530612244897959,0.21042748567679348,0.6429906542056075,0.25508474576271184,0.391353811149033,output/mes/models/resnet50_200K/0/linear/20260606_051847,0.24367088607594936,0.0603448275862069,0.17567567567567569,0.5732217573221757,0.8383311603650587,0.9170600134861767,0.8322762508809021,0.46070460704607047
resnet50_1M,finetune,linear,0.1,10,256,880,0.259,0.513,0.222,0.478,0.32769679300291543,0.25874835297529347,0.5383177570093458,0.6966101694915254,0.4877222692633362,output/mes/models/resnet50_1M/0/linear/20260606_052224,0.3628691983122363,0.22844827586206898,0.5337837837837838,0.029288702928870293,0.7314211212516297,0.6857720836142953,0.7610993657505285,0.9037940379403794
resnet50_5M,finetune,linear,0.1,10,256,880,0.32,0.701,0.304,0.832,0.43206997084548104,0.3203951177667189,0.8392523364485981,0.5711864406779661,0.6026845637583893,output/mes/models/resnet50_5M/0/linear/20260606_052235,0.4820675105485232,0.22844827586206898,0.02027027027027027,0.9414225941422594,0.8409387222946545,0.9136884693189481,0.9739252995066948,0.5345528455284553
vits16_imagenet,finetune,linear,0.1,10,364,900,0.213,0.459,0.088,0.364,0.3206997084548105,0.21269859383603537,0.17943925233644858,0.6983050847457627,0.1945288753799392,output/mes/models/vits16_imagenet/0/linear/20260606_052912,0.47151898734177217,0.2801724137931034,0.0472972972972973,0.100418410041841,0.4706649282920469,0.7673634524612273,0.8949964763918252,0.8204607046070461
resnet50_imagenet,finetune,linear,0.1,10,364,900,0.324,0.692,0.412,0.788,0.3935860058309038,0.3238494414392528,0.6934579439252336,0.5584745762711865,0.5199719691660827,output/mes/models/resnet50_imagenet/0/linear/20260606_053302,0.3628691983122363,0.5258620689655172,0.0,0.8744769874476988,0.7679269882659713,0.8792987188132164,1.0,0.5372628726287263
efficientnetb0,finetune,linear,0.1,10,364,900,0.425,0.756,0.457,0.863,0.6256559766763848,0.4253264116701481,0.5401869158878505,0.9220338983050848,0.631004366812227,output/mes/models/efficientnetb0/0/linear/20260606_052606,0.9008438818565401,0.29310344827586204,0.02027027027027027,0.606694560669456,0.559322033898305,0.9501011463250169,0.9725158562367865,0.8705962059620597
