model,freeze,head_type,pct_data,subset_ratio,f1_mean,f1_std,auroc_mean,auroc_std,tuned_threshold_mean,tuned_threshold_std,tuned_sensitivity_mean,tuned_sensitivity_std,tuned_specificity_mean,tuned_specificity_std,tuned_f1_mean,tuned_f1_std,clip_f1_mean,clip_f1_std,clip_auroc_mean,clip_auroc_std,n_train,best_checkpoint_dir,best_seed,best_seed_auroc
resnet50_imagenet,finetune,linear,10,0.1,0.21233333333333335,0.11289405062564929,0.6391666666666667,0.10411420012018856,0.39666666666666667,0.08115828156551039,0.9512372634643377,0.06221238877761434,0.15642775881683732,0.18192367769998818,0.37133094878005574,0.04200500623758764,0.21779788838612368,0.20936864499944904,0.6498842592592592,0.1108812002131091,290,output/ulcer/models/resnet50_imagenet/0/linear/20260605_173638,42,0.788
resnet50_imagenet,finetune,linear,25,0.25,0.4789999999999999,0.11337548235840057,0.8131666666666666,0.06139842560413636,0.24500000000000002,0.09833615815151615,0.8762736535662299,0.04692376293090838,0.5301478953356087,0.17880542854005246,0.49062934330738206,0.08811145599972321,0.4319124199387357,0.10110073839893952,0.8038194444444445,0.05887439221462908,686,output/ulcer/models/resnet50_imagenet/0/linear/20260605_191854,84,0.874
resnet50_imagenet,finetune,linear,50,0.5,0.6076666666666667,0.0687303911429774,0.858,0.029752310834622615,0.33166666666666667,0.11409060726749887,0.7328966521106258,0.08091771005621175,0.825938566552901,0.037937046645126454,0.6104192788666319,0.04478083482052569,0.6218785875536447,0.05998634257680726,0.8391203703703703,0.03298915677947191,1375,output/ulcer/models/resnet50_imagenet/0/linear/20260605_221746,364,0.904
resnet50_imagenet,finetune,linear,75,0.75,0.5876666666666667,0.020733226151920157,0.8548333333333332,0.009108603991099088,0.3066666666666667,0.11775681155103794,0.7096069868995634,0.026309817172737227,0.8437618505877892,0.02557745830904242,0.6150687304344066,0.015250149011504632,0.6301720484786846,0.04919641498748723,0.8350694444444445,0.017806779729108397,2098,output/ulcer/models/resnet50_imagenet/0/linear/20260606_003123,364,0.868
resnet50_imagenet,finetune,linear,100,1.0,0.6196666666666667,0.03088473193451205,0.8643333333333333,0.006470445631227168,0.35333333333333333,0.05609515724790034,0.7365356622998545,0.018040097100238323,0.8435722411831627,0.02619822926999824,0.6311016556434862,0.020516483647477265,0.6328934985685558,0.06555253613915127,0.8524305555555555,0.016832221727140034,2812,output/ulcer/models/resnet50_imagenet/0/linear/20260606_020913,128,0.872
vits16_gastronet,finetune,linear,10,0.1,0.41616666666666663,0.09605293679355496,0.7801666666666667,0.05611209020047876,0.22833333333333336,0.3143511836571745,0.586608442503639,0.18579575834165524,0.776260902540766,0.13908968441078798,0.4778548544412316,0.06806286855133015,0.4380252100840336,0.11295534849596109,0.734375,0.05328475435146806,290,output/ulcer/models/vits16_gastronet/0/linear/20260605_184645,420,0.857
vits16_gastronet,finetune,linear,25,0.25,0.5625,0.05001499775067473,0.8338333333333333,0.03436519557148868,0.45166666666666666,0.350794336708372,0.7256186317321688,0.061843476614380076,0.7821387940841866,0.05051886309977447,0.5682210865775619,0.046768669013387235,0.6614501011602462,0.06264393816178582,0.8072916666666666,0.04682996808128137,686,output/ulcer/models/vits16_gastronet/0/linear/20260605_194525,128,0.866
vits16_gastronet,finetune,linear,50,0.5,0.6055,0.04755943649792329,0.8553333333333333,0.03005106764603658,0.27166666666666667,0.2866647286756197,0.7103347889374091,0.07770799310066455,0.835608646188851,0.03432443492585641,0.6068922390882835,0.0505653766399924,0.7029855410290193,0.049837777150513726,0.8420138888888888,0.041478161552827686,1375,output/ulcer/models/vits16_gastronet/0/linear/20260605_221945,364,0.885
vits16_gastronet,finetune,linear,75,0.75,0.5964999999999999,0.078518150767832,0.8610000000000001,0.04427640455140865,0.20333333333333334,0.06742897497861484,0.7052401746724891,0.08858280687816938,0.8337125521425862,0.031176076257151877,0.6010136365507114,0.05437435937566102,0.6580317669448105,0.07292132570403081,0.8339120370370371,0.055225437019845496,2098,output/ulcer/models/vits16_gastronet/0/linear/20260605_235214,128,0.901
vits16_gastronet,finetune,linear,100,1.0,0.5933333333333334,0.05155838114862285,0.854,0.03223042041301972,0.295,0.32228869046244857,0.7045123726346434,0.10157571950660826,0.8232840348881304,0.03424074966262034,0.5894383194552834,0.0353186390779302,0.6567669448104231,0.06538930099217562,0.8373842592592592,0.0430564889385089,2812,output/ulcer/models/vits16_gastronet/0/linear/20260606_030501,364,0.888
vits16_imagenet,finetune,linear,10,0.1,0.3511666666666667,0.11878958989181951,0.7571666666666667,0.0703289888073664,0.24,0.323728281124773,0.5771470160116449,0.3174815643615209,0.6700796359499431,0.3753404251723236,0.4195897793032987,0.12613158382409795,0.3684223184223184,0.18240520953367165,0.7025462962962963,0.041181589987632404,290,output/ulcer/models/vits16_imagenet/0/linear/20260605_184139,420,0.873
vits16_imagenet,finetune,linear,25,0.25,0.6376666666666667,0.06938491670865266,0.8576666666666667,0.039817918914311294,0.10333333333333333,0.008164965809277258,0.7481804949053857,0.10202528230106726,0.8420553659461509,0.09353007384632192,0.6422150973148136,0.0557991748114415,0.6740063073284234,0.06013480160644862,0.8188657407407408,0.05447812285075138,686,output/ulcer/models/vits16_imagenet/0/linear/20260605_185613,42,0.918
vits16_imagenet,finetune,linear,50,0.5,0.6636666666666666,0.032916054846634714,0.8885000000000001,0.011379806676741065,0.14,0.05215361924162119,0.8064046579330423,0.030588472865359415,0.8139931740614333,0.04340274825241251,0.6417283555640575,0.03689352042176658,0.7121870882740448,0.016601574735225402,0.8634259259259259,0.019228295978977017,1375,output/ulcer/models/vits16_imagenet/0/linear/20260605_211426,84,0.907
vits16_imagenet,finetune,linear,75,0.75,0.6503333333333333,0.018779421361337707,0.8838333333333334,0.011856081421222898,0.20833333333333334,0.18049007359593677,0.7721979621542941,0.05358323570322271,0.8134243458475541,0.07078015202732457,0.6246269307591761,0.04171615584458641,0.7152503293807642,0.02301685818482442,0.8449074074074074,0.018975834751777044,2098,output/ulcer/models/vits16_imagenet/0/linear/20260606_005225,420,0.898
vits16_imagenet,finetune,linear,100,1.0,0.6523333333333333,0.05259911279353167,0.8848333333333334,0.019415629442968554,0.14333333333333334,0.09179687721631204,0.7503639010189228,0.06710792609742658,0.8507773985589685,0.07323686264511309,0.6511879089564858,0.055521738478014546,0.6845959595959595,0.059539221407639994,0.8362268518518517,0.01634773945813139,2812,output/ulcer/models/vits16_imagenet/0/linear/20260606_025625,364,0.908
